"ТСД ""iData i3""";/data-collection-terminal/i3/;Цена:  27340 Р
"POS-терминал ""POScenter POS250""";/pos-systems/pos250/;Цена:  286000 Р
"Сенсорный монитор кассира ""POScenter NOVA""";/pos-periphery/cashier-displays/nova/;Цена:  от 28350 Р
"Сканер штрихкода ""POScenter SQ-90C""";/bar-code-scanners/sq-90c/;Цена:  9500 Р
"Фискальный регистратор ""РИТЕЙЛ-02Ф (У) LAN/USB/COM (ДЯ)""";/check-and-label-printers/riteyl-02f-lanusbcomdya/;Цена:  от 22500 Р
"Денежный ящик ""POScenter 460E""";/pos-periphery/cash-drawers/460e/;Цена:  5790 Р
Комплекс этикетирования POScenter SMART Lite 15-2.5 (весы с чекопечатью);/vesy-torgovye/smart_lite_15-25/;Цена:  77000 Р
"POS-компьютер ""POScenter BOX PC 1 PRO""";/pos-periphery/pos-computers/box-pc1-pro/;Цена:  от 29025 Р
"POS-терминал ""POScenter POS101-17""";/pos-systems/pos10117/;Цена:  от 56900 Р
"Принтер чеков ""POScenter RP-100W""";/check-and-label-printers/rp-100w/;Цена:  11000 Р
"ТСД ""iData P1""";/data-collection-terminal/69-457/;Цена:  101628 Р
"POS-терминал ""POScenter POS101"" Resistive";/pos-systems/poscenter-pos101-resistive/;Цена:  от 49275 Р
"Сенсорный монитор кассира ""POScenter EVA-150 Lite""";/pos-periphery/cashier-displays/eva-150_lite/;Цена:  от 19575 Р
"Сканер штрихкода ""POScenter SQ-100C""";/bar-code-scanners/sq-100c/;Цена:  12000 Р
"Денежный ящик ""POScenter 460KS""";/pos-periphery/cash-drawers/460ks/;Цена:  6550 Р
Комплекс этикетирования POScenter SMART Mini 15-2.5 (весы с чекопечатью);/vesy-torgovye/smart_mini_15-25/;Цена:  70000 Р
"POS-компьютер ""POScenter Z2 PRO""";/pos-periphery/pos-computers/z2-pro/;Цена:  от 27000 Р
"Фискальный регистратор ""РИТЕЙЛ-02Ф (У) LAN/USB/COM (ДЯ, автоотрез)""";/check-and-label-printers/riteyl-02f-lanusbcomavtootrez/;Цена:  от 28500 Р
"POS-терминал ""POScenter POS101"" PCAP";/pos-systems/pos101/;Цена:  от 47250 Р
"Принтер чеков ""POScenter SP9""";/check-and-label-printers/sp9/;Цена:  12011 Р
